Method,Bytes,IgnoreCase,ParseNumbers,Mean
TryParse,False,False,False,582.33
Reflection,False,False,False,300.89
SourceGen,False,False,False,79.76
TryParse,False,False,True,185.49
Reflection,False,False,True,304.56
SourceGen,False,False,True,78.30
TryParse,False,True,False,661.59
Reflection,False,True,False,369.34
SourceGen,False,True,False,82.75
TryParse,False,True,True,186.26
Reflection,False,True,True,368.88
SourceGen,False,True,True,83.87
TryParse,True,False,False,726.99
Reflection,True,False,False,480.53
SourceGen,True,False,False,73.65
TryParse,True,False,True,326.83
Reflection,True,False,True,485.12
SourceGen,True,False,True,72.26
TryParse,True,True,False,785.22
Reflection,True,True,False,574.11
SourceGen,True,True,False,72.89
TryParse,True,True,True,327.22
Reflection,True,True,True,560.96
SourceGen,True,True,True,71.82
